IniId,EvtId,Fase,DataFase,Resultado,Detalhe,Favor,Contra,Abstencao
356289,13,Votação na generalidade,2026-03-20,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I>, <I> JPP</I><BR>Contra:<I>L</I><BR>Abstenção:<I>PS</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>",,,
356289,18,Votação final global,2026-06-12,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>",,,
356332,13,Votação na generalidade,2026-05-22,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> JPP</I><BR>Contra:<I>IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I><BR>Abstenção:<I>PSD</I>, <I> CDS-PP</I>, <I> PAN</I>",,,
356332,18,Votação final global,2026-06-12,Aprovado,"A Favor: <I>CH</I><BR>Contra:<I>IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I><BR>Abstenção:<I>PSD</I>, <I> PS</I>, <I> CDS-PP</I>, <I> JPP</I>",,,
356098,13,Votação na generalidade,2026-02-25,Rejeitado,"A Favor: <I>CH</I>, <I> IL</I>, <I> BE</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> PAN</I>",,,
346014,13,Votação na generalidade,2026-01-30,Rejeitado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>",,,
356144,13,Votação na generalidade,2026-02-27,Aprovado,"A Favor: <I>CH</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> PS</I>, <I> CDS-PP</I>",,,
356388,73,Votação Deliberação,2026-04-24,Aprovado,,,,
356388,73,Votação Deliberação,2026-04-24,Aprovado,,,,
356388,73,Votação Deliberação,2026-04-24,Aprovado,"A Favor: <I>PSD</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>CH</I>, <I> PCP</I>",,,
356388,73,Votação Deliberação,2026-04-24,Rejeitado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> CDS-PP</I>",,,
356145,13,Votação na generalidade,2026-02-27,Aprovado,"A Favor: <I>CH</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> PS</I>, <I> IL</I>",,,
356074,13,Votação na generalidade,2026-02-27,Rejeitado,"A Favor: <I>PS</I>, <I> IL</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> PCP</I>",,,
356189,13,Votação na generalidade,2026-06-24,Rejeitado,"A Favor: <I>L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> CDS-PP</I><BR>Abstenção:<I>PS</I>, <I> IL</I>, <I> PCP</I>",,,
356274,73,Votação Deliberação,2026-06-19,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>",,,
356190,13,Votação na generalidade,2026-02-20,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I>",,,
356445,13,Votação na generalidade,2026-04-17,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>",,,
356445,18,Votação final global,2026-04-24,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>",,,
356444,13,Votação na generalidade,2026-04-17,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> IL</I>, <I> CDS-PP</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I><BR>Abstenção:<I>PSD</I>, <I> L</I>, <I> BE</I>",,,
356444,18,Votação final global,2026-04-24,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>",,,
356205,13,Votação na generalidade,2026-02-25,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I>",,,
356379,73,Votação Deliberação,2026-06-12,Aprovado,"A Favor: <I>CH</I>, <I> PS</I>, <I> BE</I>, <I> JPP</I><BR>Abstenção:<I>PSD</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> PAN</I>",,,
356156,13,Votação na generalidade,2026-02-27,Rejeitado,"A Favor: <I>L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> PS</I>",,,
356143,13,Votação na generalidade,2026-02-27,Rejeitado,"A Favor: <I>PS</I>, <I> L</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PSD</I>, <I> CDS-PP</I><BR>Abstenção:<I>CH</I>, <I> IL</I>, <I> PCP</I>",,,
315209,122,Requerimento Baixa Comissão sem Votação (Generalidade),2025-07-04,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>, <I> BE</I>",,,
315209,13,Votação na generalidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>CH</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> L</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>IL</I>",,,
315209,34,Votação na especialidade,2025-07-16,Prejudicado,,,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> IL</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Abstenção:<I>CH</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> PS</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I><BR>Abstenção:<I>CH</I>, <I> JPP</I>",,,
315209,34,Votação na especialidade,2025-07-16,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> PCP</I>, <I> CDS-PP</I>, <I> BE</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>L</I>",,,
